Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
175,Caleb Martin,28,MIA,SF,64,23,1756,241,559,.431,81,232,.349,160,327,.489,.504,77,99,.778,74,207,281,143,47,29,77,126,640,0,,martica02
176,Jabari Walker,21,POR,SF,72,23,1700,234,509,.460,41,139,.295,193,370,.522,.500,129,171,.754,151,357,508,71,42,22,66,173,638,0,,walkeja01
177,Isaiah Joe,24,OKC,SG,78,1,1445,222,485,.458,147,353,.416,75,132,.568,.609,45,52,.865,32,148,180,99,46,22,47,87,636,0,,joeis01
178,Andrew Nembhard,24,IND,PG,68,47,1697,260,522,.498,61,171,.357,199,351,.567,.557,45,56,.804,36,105,141,280,63,6,101,143,626,0,,nembhan01
179,Duop Reath,27,POR,C,68,20,1214,230,499,.461,88,245,.359,142,254,.559,.549,69,93,.742,93,157,250,67,33,38,52,161,617,0,,reathdu01
180,Malcolm Brogdon,31,POR,PG,39,25,1121,218,496,.440,82,199,.412,136,297,.458,.522,95,116,.819,28,120,148,214,27,8,60,58,613,0,,brogdma01
181,Royce O'Neale,30,2TM,SF,79,14,1954,214,539,.397,156,422,.370,58,117,.496,.542,24,35,.686,60,317,377,219,59,44,73,174,608,0,,onealro01
181,Royce O'Neale,30,BRK,SF,49,6,1202,126,325,.388,97,265,.366,29,60,.483,.537,15,22,.682,38,183,221,137,32,29,51,120,364,0,,onealro01
181,Royce O'Neale,30,PHO,SF,30,8,752,88,214,.411,59,157,.376,29,57,.509,.549,9,13,.692,22,134,156,82,27,15,22,54,244,0,,onealro01
182,Wendell Carter Jr.,24,ORL,C,55,48,1406,223,425,.525,64,171,.374,159,254,.626,.600,93,134,.694,112,269,381,95,35,28,68,121,603,0,,cartewe01
183,Jalen Smith,23,IND,C,61,14,1047,234,395,.592,61,144,.424,173,251,.689,.670,72,104,.692,112,225,337,63,17,38,44,124,601,0,,smithja04
184,Christian Braun,22,DEN,SG,82,4,1655,222,483,.460,63,164,.384,159,319,.498,.525,93,134,.694,79,227,306,132,42,35,55,137,600,0,,braunch01
185,Paul Reed,24,PHI,C,82,24,1590,259,480,.540,21,57,.368,238,423,.563,.561,61,85,.718,193,295,488,109,67,84,67,198,600,0,,reedpa01
186,Amen Thompson,21,HOU,SF,62,23,1388,239,446,.536,8,58,.138,231,388,.595,.545,106,155,.684,148,261,409,163,78,38,90,141,592,1,,thompam01
187,Marcus Sasser,23,DET,PG,71,11,1351,219,512,.428,90,240,.375,129,272,.474,.516,58,66,.879,11,114,125,236,44,12,90,103,586,0,,sassema01
188,Marvin Bagley III,24,2TM,C,50,25,1053,239,408,.586,9,23,.391,230,385,.597,.597,96,126,.762,130,182,312,55,20,33,59,81,583,0,,baglema01
188,Marvin Bagley III,24,DET,C,26,10,478,107,181,.591,1,6,.167,106,175,.606,.594,50,61,.820,46,72,118,27,5,14,29,40,265,0,,baglema01
188,Marvin Bagley III,24,WAS,C,24,15,575,132,227,.581,8,17,.471,124,210,.590,.599,46,65,.708,84,110,194,28,15,19,30,41,318,0,,baglema01
189,Isaiah Hartenstein,25,NYK,C,75,49,1896,235,365,.644,1,3,.333,234,362,.646,.645,111,157,.707,244,382,626,188,87,85,93,210,582,0,,harteis01
190,Dorian Finney-Smith,30,BRK,PF,68,56,1934,215,511,.421,117,336,.348,98,175,.560,.535,33,46,.717,109,208,317,107,56,38,59,150,580,0,,finnedo01
191,Cam Whitmore,19,HOU,SF,47,2,880,212,467,.454,79,220,.359,133,247,.538,.539,76,112,.679,44,136,180,33,30,17,46,64,579,0,,whitmca01
192,Cameron Payne,29,2TM,PG,78,10,1304,208,481,.432,104,267,.390,104,214,.486,.541,58,67,.866,21,96,117,205,42,11,66,126,578,0,,payneca01
192,Cameron Payne,29,MIL,PG,47,2,702,101,222,.455,52,131,.397,49,91,.538,.572,37,44,.841,5,57,62,109,22,3,31,73,291,0,,payneca01
192,Cameron Payne,29,PHI,PG,31,8,602,107,259,.413,52,136,.382,55,123,.447,.514,21,23,.913,16,39,55,96,20,8,35,53,287,0,,payneca01
193,Lonnie Walker IV,25,BRK,SG,58,0,1011,208,492,.423,104,271,.384,104,221,.471,.528,45,59,.763,13,114,127,74,32,20,51,71,565,0,,walkelo01
194,Precious Achiuwa,24,2TM,PF,74,18,1624,235,469,.501,26,97,.268,209,372,.562,.529,69,112,.616,191,296,487,97,46,68,83,143,565,0,,achiupr01
194,Precious Achiuwa,24,TOR,C,25,0,437,78,170,.459,13,47,.277,65,123,.528,.497,24,42,.571,50,86,136,44,16,12,29,40,193,0,,achiupr01
194,Precious Achiuwa,24,NYK,PF,49,18,1187,157,299,.525,13,50,.260,144,249,.578,.547,45,70,.643,141,210,351,53,30,56,54,103,372,0,,achiupr01
195,Al Horford,37,BOS,C,65,33,1740,214,419,.511,108,258,.419,106,161,.658,.640,26,30,.867,82,331,413,168,38,62,48,93,562,0,,horfoal01
196,Miles McBride,23,NYK,PG,68,14,1328,205,454,.452,109,266,.410,96,188,.511,.572,43,50,.860,31,69,100,114,50,7,30,108,562,0,,mcbrimi01
197,Onyeka Okongwu,23,ATL,C,55,8,1405,223,365,.611,23,69,.333,200,296,.676,.642,92,116,.793,145,231,376,74,26,60,45,162,561,0,,okongon01
198,Cason Wallace,20,OKC,SG,82,13,1692,217,442,.491,98,234,.419,119,208,.572,.602,29,37,.784,52,135,187,120,76,37,45,129,561,0,,wallaca01
199,Dalano Banton,24,2TM,PG,54,9,1047,202,500,.404,59,199,.296,143,301,.475,.463,94,120,.783,41,137,178,127,33,20,77,64,557,0,,bantoda01
199,Dalano Banton,24,BOS,PG,24,1,171,19,51,.373,2,16,.125,17,35,.486,.392,16,20,.800,12,23,35,19,5,3,10,20,56,0,,bantoda01
199,Dalano Banton,24,POR,PG,30,8,876,183,449,.408,57,183,.311,126,266,.474,.471,78,100,.780,29,114,143,108,28,17,67,44,501,0,,bantoda01
200,Ausar Thompson,21,DET,SF,63,38,1583,232,480,.483,21,113,.186,211,367,.575,.505,71,119,.597,129,273,402,120,68,59,84,175,556,0,,thompau01
201,Jakob Poeltl,28,TOR,C,50,50,1319,248,378,.656,0,0,,248,378,.656,.656,59,107,.551,146,283,429,127,35,76,77,149,555,0,,poeltja01
202,Aaron Wiggins,25,OKC,SG,78,4,1228,212,377,.562,62,126,.492,150,251,.598,.645,56,71,.789,60,126,186,86,56,19,56,91,542,0,,wiggiaa01
203,Trayce Jackson-Davis,23,GSW,PF,68,16,1130,233,332,.702,0,1,.000,233,331,.704,.702,74,132,.561,135,206,341,82,29,76,49,108,540,0,,jackstr02
204,Moses Moody,21,GSW,SG,66,9,1156,194,420,.462,72,200,.360,122,220,.555,.548,73,93,.785,65,131,196,57,42,24,44,90,533,0,,moodymo01
205,Chris Paul,38,GSW,PG,58,18,1531,206,467,.441,78,210,.371,128,257,.498,.525,43,52,.827,18,207,225,393,70,6,76,108,533,0,,paulch01
206,Bilal Coulibaly,19,WAS,SF,63,15,1715,188,432,.435,64,185,.346,124,247,.502,.509,92,131,.702,56,200,256,110,57,48,87,137,532,0,,coulibi01
207,Peyton Watson,21,DEN,SF,80,4,1488,208,447,.465,45,152,.296,163,295,.553,.516,71,106,.670,56,202,258,86,42,88,58,143,532,0,,watsope01
208,Jaden Hardy,21,DAL,SG,73,7,989,195,479,.407,81,224,.362,114,255,.447,.492,59,76,.776,20,111,131,109,22,4,62,80,530,0,,hardyja02
209,Toumani Camara,23,POR,PF,70,49,1739,197,438,.450,58,172,.337,139,266,.523,.516,75,99,.758,139,204,343,87,66,33,84,174,527,0,,camarto01
210,LaMelo Ball,22,CHO,PG,22,22,711,183,423,.433,70,197,.355,113,226,.500,.515,90,104,.865,29,84,113,176,40,4,83,79,526,1,,ballla01
211,Jordan Hawkins,21,NOP,SG,67,10,1160,174,456,.382,109,298,.366,65,158,.411,.501,67,80,.838,29,119,148,70,19,7,40,72,524,0,,hawkijo01
212,Vince Williams Jr.,23,MEM,SG,52,33,1436,169,379,.446,79,209,.378,90,170,.529,.550,104,130,.800,59,231,290,175,47,34,92,135,521,0,,willivi01
213,Walker Kessler,22,UTA,C,64,22,1493,229,350,.654,4,19,.211,225,331,.680,.660,56,93,.602,165,316,481,60,30,154,66,132,518,0,,kesslwa01
214,Talen Horton-Tucker,23,UTA,PG,51,11,1009,184,465,.396,60,182,.330,124,283,.438,.460,88,109,.807,21,100,121,177,45,19,65,94,516,0,,hortota01
215,Dario Šarić,29,GSW,C,64,9,1098,181,388,.466,74,197,.376,107,191,.560,.562,79,93,.849,73,210,283,144,31,10,78,112,515,0,,saricda01
216,Aaron Holiday,27,HOU,PG,78,1,1269,186,417,.446,84,217,.387,102,200,.510,.547,58,63,.921,23,100,123,140,42,6,53,125,514,0,,holidaa01
217,Gradey Dick,20,TOR,SG,60,17,1268,189,445,.425,88,241,.365,101,204,.495,.524,44,51,.863,27,105,132,68,34,2,50,87,510,0,,dickgr01
218,Shaedon Sharpe,20,POR,SG,32,25,1059,176,434,.406,60,180,.333,116,254,.457,.475,98,119,.824,42,118,160,94,28,12,72,88,510,0,,sharpsh01
219,Jeff Green,37,HOU,PF,78,6,1307,167,366,.456,53,160,.331,114,206,.553,.529,122,149,.819,46,132,178,70,16,31,46,100,509,0,,greenje02
220,Kyle Anderson,30,MIN,PF,79,10,1782,199,433,.460,11,48,.229,188,385,.488,.472,97,137,.708,60,213,273,331,71,47,91,128,506,0,,anderky01
221,Julian Champagnie,22,SAS,SF,74,59,1468,164,402,.408,101,277,.365,63,125,.504,.534,75,92,.815,42,164,206,103,48,42,57,77,504,0,,champju02
222,Isaiah Stewart,22,DET,PF,46,45,1423,186,382,.487,67,175,.383,119,207,.575,.575,64,85,.753,74,231,305,73,17,38,66,99,503,0,,stewais01
223,Gordon Hayward,33,2TM,SF,51,28,1245,187,403,.464,37,90,.411,150,313,.479,.510,89,120,.742,38,143,181,158,40,13,66,67,500,0,,haywago01
223,Gordon Hayward,33,CHO,SF,25,25,798,139,297,.468,22,61,.361,117,236,.496,.505,62,81,.765,25,92,117,116,28,12,51,46,362,0,,haywago01
223,Gordon Hayward,33,OKC,SF,26,3,447,48,106,.453,15,29,.517,33,77,.429,.524,27,39,.692,13,51,64,42,12,1,15,21,138,0,,haywago01
224,Cedi Osman,28,SAS,SF,72,3,1269,184,384,.479,86,221,.389,98,163,.601,.591,35,52,.673,25,155,180,119,36,11,47,107,489,0,,osmande01
225,Zach LaVine,28,CHI,SG,25,23,872,170,376,.452,59,169,.349,111,207,.536,.531,88,103,.854,8,121,129,98,21,8,52,57,487,0,,lavinza01
226,Kyle Lowry,37,2TM,PG,60,55,1690,163,377,.432,98,250,.392,65,127,.512,.562,63,75,.840,34,160,194,253,59,21,85,146,487,0,,lowryky01
226,Kyle Lowry,37,MIA,PG,37,35,1037,103,242,.426,62,161,.385,41,81,.506,.554,35,42,.833,25,104,129,147,39,15,53,94,303,0,,lowryky01
226,Kyle Lowry,37,PHI,PG,23,20,653,60,135,.444,36,89,.404,24,46,.522,.578,28,33,.848,9,56,65,106,20,6,32,52,184,0,,lowryky01
227,Kevin Love,35,MIA,PF,55,5,924,158,359,.440,84,244,.344,74,115,.643,.557,85,108,.787,59,279,338,115,18,10,48,97,485,0,,loveke01
228,Sam Merrill,27,CLE,SG,61,1,1069,158,393,.402,143,354,.404,15,39,.385,.584,26,28,.929,22,98,120,108,19,4,19,72,485,0,,merrisa01
229,Dereck Lively II,19,DAL,C,55,42,1294,221,296,.747,0,2,.000,221,294,.752,.747,41,81,.506,135,243,378,60,36,77,50,144,483,0,ROY-6,livelde01
230,Draymond Green,33,GSW,PF,55,52,1490,185,372,.497,51,129,.395,134,243,.551,.566,54,74,.730,76,322,398,332,55,47,135,166,475,1,,greendr01
231,Josh Green,23,DAL,SG,57,33,1505,179,374,.479,72,187,.385,107,187,.572,.575,39,57,.684,40,144,184,130,47,9,60,107,469,0,,greenjo02
232,Naji Marshall,26,NOP,SF,66,1,1257,170,367,.463,58,150,.387,112,217,.516,.542,68,86,.791,53,187,240,128,49,12,65,91,466,0,,marshna01
